job_id,job_title,company,location,salary,tags,job_url,date_scraped
1129354,DevOps Software Engineer Energy Storage,Redwood Materials,San Francisco,,"software, growth, web, devops, operations, engineer",https://remoteOK.com/remote-jobs/remote-devops-software-engineer-energy-storage-redwood-materials-1129354,2026-01-08
1129353,Business Systems Analyst,NASA Federal Credit Union,Remote,,"analyst, design, system, training, technical, support, software, investment, microsoft, management, junior, operational, part-time, digital nomad",https://remoteOK.com/remote-jobs/remote-business-systems-analyst-nasa-federal-credit-union-1129353,2026-01-08
1129352,Customer Experience Associate New Req,Koala Health,Remote,,"technical, support, web, voice, medical, health, healthcare",https://remoteOK.com/remote-jobs/remote-customer-experience-associate-new-req-koala-health-1129352,2026-01-08
1129351,Frontend Engineer Trading Platform,MyFunded Futures,Remote,,"frontend, design, test, code, financial, api, engineer, backend, digital nomad",https://remoteOK.com/remote-jobs/remote-frontend-engineer-trading-platform-myfunded-futures-1129351,2026-01-08
1129350,Internal Controls &amp; Policy Adherence Testing Analyst,CloudWalk,United States,,"testing, analyst, design, technical, support, test, financial, operations, operational, engineering, digital nomad",https://remoteOK.com/remote-jobs/remote-internal-controls-amp-policy-adherence-testing-analyst-cloudwalk-1129350,2026-01-08
1129349,Frontend Product Engineer,Mento,Remote,,"frontend, design, growth, engineer, engineering, digital nomad",https://remoteOK.com/remote-jobs/remote-frontend-product-engineer-mento-1129349,2026-01-08
1129348,Commercial P&amp;C Support Representative,Thimble,United States,,"training, technical, support, software, sales, health",https://remoteOK.com/remote-jobs/remote-commercial-pampc-support-representative-thimble-1129348,2026-01-08
1129347,Content Manager,Terra,U.S.,,"manager, design, writer, support, ux, seo, leader, strategy, lead, content, senior, marketing, health, healthcare, digital nomad",https://remoteOK.com/remote-jobs/remote-content-manager-terra-1129347,2026-01-08
1129346,Associate Clinical Director Oncology,Private Health Management,Remote,,"director, manager, exec, management, lead, go, medical, health, healthcare",https://remoteOK.com/remote-jobs/remote-associate-clinical-director-oncology-private-health-management-1129346,2026-01-08
1129345,Recovery Analyst Underpayments,Trend Health Partners,Remote,,"analyst, system, software, microsoft, excel, medical, health, healthcare",https://remoteOK.com/remote-jobs/remote-recovery-analyst-underpayments-trend-health-partners-1129345,2026-01-08
